年月日时分	站点名称	气温	降水	瞬时风向	瞬时风速	瞬时能见度	相对湿度	瞬时气压	一小时最高气温	一小时最低气温	一小时最大风速	一小时最大风速时风向
201410110100	交大	20.2	0	54	2.8	////	////	////	20.7	20.1	4.5	49
201410110110	交大	20.3	0	29	1.2	////	////	////	20.4	20.2	3.4	57
201410110120	交大	20.3	0	35	0.8	////	////	////	20.4	20.2	3.7	38
201410110130	交大	20.1	0	23	1.3	////	////	////	20.4	20	3.7	38
201410110150	交大	20	0	32	0.9	////	////	////	20.4	19.8	3.7	38
201410110200	交大	19.8	0	18	2.2	////	////	////	20.4	19.8	3.7	38
201410110210	交大	19.8	0	21	1.4	////	////	////	19.8	19.8	2.4	344
201410110220	交大	19.8	0	358	1.1	////	////	////	19.9	19.8	3.4	57
201410110230	交大	19.7	0	18	1.6	////	////	////	19.9	19.7	3.4	57
201410110240	交大	19.7	0	341	1	////	////	////	19.9	19.7	3.4	57
201410110250	交大	19.6	0	353	0.8	////	////	////	19.9	19.6	3.4	57
201410110300	交大	19.7	0	18	0.8	////	////	////	19.9	19.5	3.4	57
201410110310	交大	20.2	0	38	1.7	////	////	////	20.2	19.8	4.5	71
201410110320	交大	20.5	0	40	1.9	////	////	////	20.5	19.8	4.9	327
201410110330	交大	20.5	0	26	1.8	////	////	////	20.6	19.8	4.9	327
201410110340	交大	20	0	40	2.2	////	////	////	20.6	19.8	4.9	327
201410110350	交大	20	0	46	1.9	////	////	////	20.6	19.8	4.9	327
201410110400	交大	20	0	353	0.9	////	////	////	20.6	19.8	4.9	327
201410110410	交大	19.7	0	4	1.8	////	////	////	20	19.7	2.6	29
201410110420	交大	19.8	0	130	0.8	////	////	////	20	19.6	3.8	21
201410110440	交大	19.7	0	18	1.9	////	////	////	20	19.6	3.8	21
201410110450	交大	19.6	0	40	0.4	////	////	////	20	19.6	3.8	21
201410110500	交大	19.5	0	29	1.6	////	////	////	20	19.5	3.8	21
201410110510	交大	19.6	0	355	0.9	////	////	////	19.7	19.6	2.8	358
201410110520	交大	19.6	0	32	1.3	////	////	////	19.7	19.5	2.8	358
201410110530	交大	19.8	0	330	0.8	////	////	////	19.8	19.5	3.1	52
201410110540	交大	19.9	0	32	1.8	////	////	////	20	19.5	3.1	52
201410110550	交大	19.9	0	18	1.7	////	////	////	20	19.5	3.7	15
201410110600	交大	19.8	0	29	2.4	////	////	////	20	19.5	3.7	15
201410110610	交大	20	0	7	3	////	////	////	20	19.8	3.3	23
201410110620	交大	20	0	40	2.5	////	////	////	20	19.8	3.3	23
201410110640	交大	20.4	0	29	1.1	////	////	////	20.4	19.8	3.6	38
201410110650	交大	20.6	0	1	2	////	////	////	20.6	19.8	3.6	29
201410110700	交大	21.1	0	66	1.4	////	////	////	21.1	19.8	3.8	35
201410110710	交大	21.8	0	40	2.5	////	////	////	21.8	21.2	3.6	32
201410110720	交大	22.1	0	29	1.9	////	////	////	22.1	21.2	4.5	43
201410110740	交大	22.6	0	52	2	////	////	////	22.6	21.2	5.6	68
201410110750	交大	22.9	0	68	2.8	////	////	////	23.1	21.2	5.6	68
201410110800	交大	23.5	0	7	2.9	////	////	////	23.6	21.2	5.6	68
201410110810	交大	23.5	0	52	4.7	////	////	////	23.6	23.1	5.9	40
201410110820	交大	23	0.2	68	1.6	////	////	////	23.6	23	6.2	344
201410110830	交大	23	0.2	57	1.5	////	////	////	23.6	22.9	6.2	344
201410110840	交大	23.5	0.2	88	1.7	////	////	////	23.6	22.9	6.2	344
201410110850	交大	23.2	0.2	52	3.2	////	////	////	23.6	22.9	7.4	66
201410110900	交大	23.9	0.2	57	1.5	////	////	////	23.9	22.9	7.4	66
201410110920	交大	24.1	0	60	3.8	////	////	////	24.9	24.1	6.2	108
201410110930	交大	23.6	0	38	1.3	////	////	////	24.9	23.6	6.6	74
201410110940	交大	24.9	0	63	3.6	////	////	////	24.9	23.6	7.5	102
201410110950	交大	24.7	0	52	2	////	////	////	24.9	23.6	7.5	102
201410111000	交大	25	0	85	4.1	////	////	////	25.2	23.6	7.8	77
201410111020	交大	26.1	0	358	1.9	////	////	////	26.2	24.3	7	74
201410111030	交大	26.4	0	88	4.2	////	////	////	26.4	24.3	7	94
201410111040	交大	25.9	0	77	3.9	////	////	////	26.4	24.3	7	94
201410111050	交大	26	0	125	2.1	////	////	////	26.4	24.3	7	94
201410111100	交大	26.1	0	60	2.5	////	////	////	26.4	24.3	7	94
201410111110	交大	26.7	0	60	3.8	////	////	////	26.7	25.9	6.3	83
201410111120	交大	26.2	0	88	3.2	////	////	////	26.9	25.9	7.6	63
201410111130	交大	26.7	0	74	5.9	////	////	////	27.1	25.6	9.3	85
201410111150	交大	25.7	0	91	5.4	////	////	////	27.1	25.6	9.3	85
201410111200	交大	26.2	0	113	1.9	////	////	////	27.1	25.5	9.3	85
201410111210	交大	26.7	0	46	3.7	////	////	////	26.8	26.2	5.8	83
201410111220	交大	25.8	0	142	2.3	////	////	////	26.8	25.8	6.9	97
201410111230	交大	26.9	0	97	4.9	////	////	////	27.2	25.8	6.9	97
201410111240	交大	26	0	119	6.1	////	////	////	27.2	25.8	8.8	94
201410111250	交大	26.7	0	57	2	////	////	////	27.3	25.8	8.8	94
201410111300	交大	26.4	0	80	3.1	////	////	////	27.3	25.8	8.8	94
201410111310	交大	25.7	0	74	4.2	////	////	////	26.6	25.7	8.6	63
201410111320	交大	26.8	0	77	4.9	////	////	////	26.9	25.7	8.6	63
201410111330	交大	27	0	23	3.8	////	////	////	27	25.7	8.6	63
201410111340	交大	26.4	0	91	3.3	////	////	////	27.4	25.7	8.6	63
201410111350	交大	25.8	0	88	3.8	////	////	////	27.4	25.6	8.6	63
201410111400	交大	26.3	0	29	3.6	////	////	////	27.4	25.6	8.6	63
201410111410	交大	26.5	0	83	3.5	////	////	////	26.7	26.3	7.1	83
201410111420	交大	27	0	319	2.8	////	////	////	27.1	26.3	7.1	83
201410111440	交大	26.4	0	63	6.5	////	////	////	27.1	26.2	7.6	66
201410111450	交大	24.3	0	66	2.3	////	////	////	27.1	24.3	9.4	68
201410111500	交大	25.6	0	54	5.8	////	////	////	27.1	24.2	9.4	68
201410111510	交大	26	0	63	6.3	////	////	////	26	25.5	7.5	83
201410111520	交大	24.6	0	60	4.3	////	////	////	26	24.5	8	49
201410111530	交大	25.7	0	77	0.7	////	////	////	26	24.5	8	49
201410111550	交大	24.3	0	77	6.1	////	////	////	26	24.2	8.8	66
201410111600	交大	24.2	0	40	6	////	////	////	26	24.2	8.8	66
201410111610	交大	23.9	0	74	4.5	////	////	////	24.1	23.8	7.9	80
201410111620	交大	23.8	0	60	3.7	////	////	////	24.1	23.8	7.9	80
201410111630	交大	23.8	0	116	3.3	////	////	////	24.1	23.8	7.9	80
201410111640	交大	23.4	0	1	3.3	////	////	////	24.1	23.4	7.9	60
201410111650	交大	23.2	0	57	4.4	////	////	////	24.1	23.2	7.9	60
201410111700	交大	23.2	0	68	2.1	////	////	////	24.1	23.2	7.9	60
201410111710	交大	22.9	0	68	2.4	////	////	////	23.2	22.9	7.4	85
201410111720	交大	22.6	0	15	3.1	////	////	////	23.2	22.6	8.9	74
201410111730	交大	22.6	0	66	2.9	////	////	////	23.2	22.6	8.9	74
201410111740	交大	22.4	0	66	6.5	////	////	////	23.2	22.4	8.9	74
201410111750	交大	22.3	0	74	4.2	////	////	////	23.2	22.3	8.9	74
201410111800	交大	22.2	0	40	4.1	////	////	////	23.2	22.2	8.9	74
201410111810	交大	22.2	0	97	2.9	////	////	////	22.3	22.2	6.4	60
201410111820	交大	22.4	0	38	5.4	////	////	////	22.4	22.2	8	46
201410111830	交大	22.2	0	43	3.5	////	////	////	22.4	22.2	8.8	54
201410111840	交大	22.1	0	74	5.1	////	////	////	22.4	22.1	9.2	57
201410111850	交大	22	0	63	4.1	////	////	////	22.4	22	9.3	80
201410111900	交大	22.1	0	18	3.3	////	////	////	22.4	22	9.3	80
201410111910	交大	22	0	68	2.6	////	////	////	22.1	22	9.6	83
201410111920	交大	21.8	0	63	1.6	////	////	////	22.1	21.8	9.6	83
201410111930	交大	21.8	0	23	1.8	////	////	////	22.1	21.8	9.6	83
201410111940	交大	21.8	0	77	3.8	////	////	////	22.1	21.8	9.6	83
201410111950	交大	21.9	0	23	2.6	////	////	////	22.1	21.8	9.6	83
201410112000	交大	22	0	15	3.2	////	////	////	22.1	21.8	9.6	83
201410112010	交大	21.9	0	94	3.2	////	////	////	22	21.9	7.6	85
201410112020	交大	21.9	0	74	3	////	////	////	22	21.9	7.6	85
201410112030	交大	21.9	0	7	5.1	////	////	////	22	21.9	9	32
201410112040	交大	21.8	0	60	3.9	////	////	////	22	21.8	9	32
201410112050	交大	21.7	0	88	3.9	////	////	////	22	21.7	9	32
201410112100	交大	21.6	0	74	4.3	////	////	////	22	21.6	9	32
201410112110	交大	21.2	0	85	2.4	////	////	////	21.6	21.2	4.6	60
201410112130	交大	21.5	0	29	2.3	////	////	////	21.6	21.2	7.2	40
201410112140	交大	21.5	0	116	1.3	////	////	////	21.6	21.2	7.2	40
201410112150	交大	21.4	0	40	1.8	////	////	////	21.6	21.2	7.2	40
201410112200	交大	21.3	0	66	5.2	////	////	////	21.6	21.2	7.2	40
201410112210	交大	21.1	0	74	1.5	////	////	////	21.2	21.1	6.5	74
201410112220	交大	21	0	60	2.3	////	////	////	21.2	21	6.5	54
201410112240	交大	21.1	0	63	3.2	////	////	////	21.2	21	7.9	63
201410112250	交大	21.2	0	38	1.8	////	////	////	21.2	21	7.9	63
201410112300	交大	21.1	0	49	3.3	////	////	////	21.3	21	7.9	63
201410112310	交大	21.1	0	32	1.4	////	////	////	21.1	21.1	4.6	74
201410112330	交大	20.9	0	60	2.1	////	////	////	21.1	20.9	6.3	49
201410112340	交大	21.1	0	18	1.6	////	////	////	21.1	20.9	6.4	71
201410112350	交大	21.1	0	85	3	////	////	////	21.1	20.9	6.4	71
201410120000	交大	21.1	0	358	1.8	////	////	////	21.1	20.9	6.4	71
201410120020	交大	21.1	0	46	2.6	////	////	////	21.2	21.1	5	29
201410120030	交大	21.1	0	308	1.2	////	////	////	21.2	21.1	5	29
201410120040	交大	21.1	0	105	1.1	////	////	////	21.2	21.1	5	29
201410120050	交大	21.1	0	23	1.3	////	////	////	21.2	21.1	5	29
201410120100	交大	21.2	0	105	2.4	////	////	////	21.2	21	6.6	353
201410120110	交大	21.2	0	74	2.3	////	////	////	21.2	21.2	6.5	38
201410120120	交大	21.2	0	77	2.1	////	////	////	21.2	21.2	6.5	38
201410120130	交大	21.2	0	91	3	////	////	////	21.2	21.2	6.5	38
201410120140	交大	21.1	0	38	2.8	////	////	////	21.2	21.1	6.5	38
201410120200	交大	21.1	0	63	1.6	////	////	////	21.2	21.1	6.7	43
201410120210	交大	21.1	0	29	3.5	////	////	////	21.1	21	8.7	46
201410120220	交大	21.1	0	38	2.8	////	////	////	21.2	21	8.7	46
201410120240	交大	21.1	0	52	3	////	////	////	21.2	21	8.7	46
201410120250	交大	21	0	57	2.8	////	////	////	21.2	21	8.7	46
201410120300	交大	21	0	12	1.4	////	////	////	21.2	21	8.7	46
201410120310	交大	20.9	0	26	4	////	////	////	21	20.9	5.8	7
201410120320	交大	20.9	0	15	3.5	////	////	////	21	20.9	6.7	52
201410120330	交大	20.9	0	91	3.9	////	////	////	21	20.8	6.7	52
201410120340	交大	20.8	0	38	3	////	////	////	21	20.8	6.7	52
201410120350	交大	20.7	0	46	2.2	////	////	////	21	20.7	6.7	52
201410120400	交大	20.7	0	38	1.8	////	////	////	21	20.7	6.7	52
201410120410	交大	20.7	0	15	4.5	////	////	////	20.7	20.7	5.2	38
201410120420	交大	20.7	0	46	2.5	////	////	////	20.7	20.7	5.3	32
201410120430	交大	20.7	0	254	1.1	////	////	////	20.7	20.6	6.3	7
201410120450	交大	20.3	0	1	1.3	////	////	////	20.7	20.3	6.3	7
201410120500	交大	20.2	0	347	2.9	////	////	////	20.7	20.2	6.3	7
201410120550	交大	20.2	0	54	3.5	////	////	////	20.3	20.1	5.9	49
201410120600	交大	20.2	0	7	2.3	////	////	////	20.3	20.1	5.9	49
201410120610	交大	20.3	0	23	2.3	////	////	////	20.3	20.2	5.7	7
201410120620	交大	20.4	0	7	4.4	////	////	////	20.4	20.2	6.3	15
201410120630	交大	20.3	0	12	2.1	////	////	////	20.4	20.2	6.3	15
201410120650	交大	20.6	0	52	3.3	////	////	////	20.6	20.2	6.3	15
201410120700	交大	20.7	0	355	3.4	////	////	////	20.7	20.2	6.7	49
201410120710	交大	20.8	0	85	2.3	////	////	////	20.8	20.7	6.2	336
201410120720	交大	21	0	54	3.3	////	////	////	21	20.7	6.4	68
201410120730	交大	20.9	0	18	3.3	////	////	////	21	20.7	6.4	68
201410120740	交大	21	0	29	2	////	////	////	21	20.7	7.6	26
201410120750	交大	20.9	0	43	2.8	////	////	////	21	20.7	7.9	26
201410120800	交大	21	0	23	5.4	////	////	////	21	20.7	7.9	26
201410120810	交大	21.2	0	40	3.1	////	////	////	21.2	21.1	7.2	12
201410120830	交大	21.8	0	7	5.2	////	////	////	22.3	21.1	7.9	9
201410120840	交大	21.7	0	38	4.4	////	////	////	22.3	21.1	8.1	29
201410120850	交大	21.7	0	32	1.9	////	////	////	22.3	21.1	8.1	29
201410120900	交大	21.7	0	310	1.1	////	////	////	22.3	21.1	8.1	29
201410120910	交大	21.7	0	9	5.3	////	////	////	21.9	21.7	7.3	23
201410120920	交大	22.1	0	52	3.5	////	////	////	22.1	21.7	7.3	23
201410120930	交大	22.4	0	66	3.3	////	////	////	22.4	21.7	7.3	23
201410120940	交大	23.5	0	330	5.9	////	////	////	23.7	21.7	8.9	38
201410120950	交大	23.5	0	57	4.2	////	////	////	23.8	21.7	8.9	38
201410121000	交大	23.4	0	63	5.6	////	////	////	23.8	21.7	12.9	77
201410121010	交大	24.3	0	49	4	////	////	////	24.4	23.5	10.6	23
201410121020	交大	23.4	0	23	1.3	////	////	////	24.4	23.2	10.6	23
201410121030	交大	24.7	0	77	6	////	////	////	24.9	23.2	10.6	23
201410121040	交大	23.9	0	330	2.1	////	////	////	25	23.2	10.6	23
201410121050	交大	24.6	0	40	4.2	////	////	////	25	23.2	10.6	23
201410121100	交大	24.3	0	60	2.7	////	////	////	25	23.2	10.6	23
201410121110	交大	24.8	0	358	4.9	////	////	////	24.8	24	8.7	18
201410121120	交大	24.3	0	21	2.8	////	////	////	24.9	24	8.9	40
201410121140	交大	24.6	0	49	7.1	////	////	////	25.1	24	10.6	38
201410121150	交大	24.7	0	43	5.3	////	////	////	25.1	24	10.6	38
201410121200	交大	24	0	49	7.6	////	////	////	25.1	24	10.9	43
201410121210	交大	24.4	0	29	3	////	////	////	24.5	23.9	9.1	38
201410121220	交大	24.6	0	353	6.5	////	////	////	24.9	23.9	10.7	15
201410121230	交大	25.4	0	355	5.8	////	////	////	25.5	23.9	10.7	15
201410121240	交大	25.3	0	15	6.9	////	////	////	25.5	23.9	10.7	15
201410121250	交大	24.7	0	15	2.3	////	////	////	25.5	23.9	10.7	15
201410121300	交大	24.9	0	71	7.7	////	////	////	25.5	23.9	10.7	15
201410121310	交大	24.5	0	18	1.2	////	////	////	25.6	24.5	9	74
201410121320	交大	24.6	0	29	2.5	////	////	////	25.6	24.4	9.3	85
201410121330	交大	24.8	0	18	5	////	////	////	25.6	24.4	9.3	85
201410121340	交大	25.4	0	38	5.4	////	////	////	25.6	24.4	11	4
201410121350	交大	25	0	7	5.3	////	////	////	25.6	24.4	11	4
201410121400	交大	25.3	0	32	5.4	////	////	////	25.6	24.4	11	4
201410121410	交大	25	0	57	3.1	////	////	////	25.6	25	9.7	18
201410121420	交大	24.8	0	358	5	////	////	////	25.6	24.8	9.7	18
201410121440	交大	24.6	0	88	1.3	////	////	////	25.6	24.5	9.7	18
201410121450	交大	24.8	0	74	4.7	////	////	////	25.6	24.3	10.7	46
201410121500	交大	25.2	0	46	3.2	////	////	////	25.6	24.3	10.7	46
201410121510	交大	25	0	18	6	////	////	////	25.3	25	11.4	35
201410121520	交大	24.8	0	7	5.8	////	////	////	25.3	24.8	11.5	52
201410121530	交大	24.7	0	43	3.2	////	////	////	25.3	24.7	14	40
201410121540	交大	24.4	0	35	3.3	////	////	////	25.3	24.4	14	40
201410121550	交大	24.7	0	63	4.6	////	////	////	25.3	24.4	14	40
201410121600	交大	24.3	0	350	3.9	////	////	////	25.3	24.3	14	40
201410121610	交大	23.7	0	116	2.7	////	////	////	24.2	23.7	9.9	29
201410121620	交大	23.3	0	32	6	////	////	////	24.2	23.3	10.5	358
201410121630	交大	23.2	0	38	4.3	////	////	////	24.2	23.2	10.5	358
201410121640	交大	23.1	0	66	3.2	////	////	////	24.2	23.1	10.5	358
201410121650	交大	22.9	0	32	1.9	////	////	////	24.2	22.9	11.3	49
201410121700	交大	22.7	0	40	7.2	////	////	////	24.2	22.7	11.3	49
201410121710	交大	22.5	0	29	2.9	////	////	////	22.6	22.5	10.5	18
201410121720	交大	22.4	0	29	2.8	////	////	////	22.6	22.4	10.5	18
201410121730	交大	22.2	0	29	2.8	////	////	////	22.6	22.2	10.5	18
201410121740	交大	22	0	35	5.3	////	////	////	22.6	22	10.5	18
201410121800	交大	21.6	0	21	3.8	////	////	////	22.6	21.6	12	29
201410121810	交大	21.5	0	355	3.5	////	////	////	21.6	21.5	10.5	18
201410121820	交大	21.4	0	347	2.1	////	////	////	21.6	21.4	12	12
201410121830	交大	21.2	0	12	2.8	////	////	////	21.6	21.2	12	12
201410121840	交大	21.1	0	322	3.6	////	////	////	21.6	21.1	12	12
201410121850	交大	21	0	26	2	////	////	////	21.6	21	12	12
201410121900	交大	21	0	333	7.9	////	////	////	21.6	21	12	12
201410121910	交大	21	0	353	2.5	////	////	////	21	21	9.9	324
201410121920	交大	20.9	0	7	4.5	////	////	////	21	20.9	9.9	324
201410121930	交大	20.9	0	29	2.8	////	////	////	21	20.9	9.9	324
201410121940	交大	20.8	0	7	3	////	////	////	21	20.8	10.5	353
201410121950	交大	20.8	0	94	3.1	////	////	////	21	20.8	10.5	353
201410122000	交大	20.9	0	12	3.3	////	////	////	21	20.8	10.5	353
201410122010	交大	20.8	0	18	5.9	////	////	////	20.9	20.8	11.2	23
201410122020	交大	20.8	0	153	1.9	////	////	////	20.9	20.8	11.2	23
201410122030	交大	20.8	0	7	2.5	////	////	////	20.9	20.8	11.2	23
201410122040	交大	20.7	0	344	2.6	////	////	////	20.9	20.7	11.2	23
201410122050	交大	20.7	0	324	6.1	////	////	////	20.9	20.7	11.2	23
201410122100	交大	20.7	0	355	4.4	////	////	////	20.9	20.7	11.2	23
201410122110	交大	20.7	0	330	5.2	////	////	////	20.7	20.6	11.1	358
201410122120	交大	20.6	0	347	5.6	////	////	////	20.7	20.6	11.1	358
201410122130	交大	20.6	0	336	4.5	////	////	////	20.7	20.6	11.1	358
201410122140	交大	20.5	0	327	3.3	////	////	////	20.7	20.5	11.3	57
201410122150	交大	20.5	0	18	5.3	////	////	////	20.7	20.5	11.3	57
201410122200	交大	20.4	0	353	4.4	////	////	////	20.7	20.4	11.3	57
201410122210	交大	20.5	0	29	1.7	////	////	////	20.5	20.4	10.5	322
201410122230	交大	20.5	0	26	2	////	////	////	20.5	20.4	10.5	322
201410122240	交大	20.5	0	341	3.5	////	////	////	20.5	20.4	10.5	322
201410122250	交大	20.4	0	347	4	////	////	////	20.5	20.4	10.5	322
201410122300	交大	20.5	0	60	2.2	////	////	////	20.5	20.4	10.5	322
201410122310	交大	20.4	0	18	7.9	////	////	////	20.5	20.4	11.3	35
201410122320	交大	20.2	0	21	2.6	////	////	////	20.5	20.2	11.3	35
201410122330	交大	20.1	0	4	5	////	////	////	20.5	20.1	11.3	35
201410122340	交大	20	0	355	3.5	////	////	////	20.5	20	11.9	1
201410122350	交大	20	0	15	2	////	////	////	20.5	19.9	11.9	1
201410130000	交大	19.9	0	21	3.5	////	////	////	20.5	19.9	11.9	1
201410130010	交大	20	0	23	2.6	////	////	////	20	19.9	10.7	350
201410130020	交大	19.9	0	15	1.3	////	////	////	20	19.9	10.7	350
201410130050	交大	19.7	0	77	3.5	////	////	////	20	19.7	10.7	350
201410130100	交大	19.6	0	299	3.4	////	////	////	20	19.6	10.7	350
201410130110	交大	19.5	0	57	6.3	////	////	////	19.6	19.5	9.5	7
201410130120	交大	19.5	0	358	5.5	////	////	////	19.6	19.5	11.8	21
201410130130	交大	19.4	0	341	4.5	////	////	////	19.6	19.4	11.8	21
201410130140	交大	19.4	0	12	4.1	////	////	////	19.6	19.3	11.8	21
201410130150	交大	19.2	0	305	2.7	////	////	////	19.6	19.1	11.8	21
201410130200	交大	19.2	0	296	4.1	////	////	////	19.6	19.1	11.8	21
201410130210	交大	19	0	330	1.1	////	////	////	19.1	19	8.3	330
201410130220	交大	19	0	344	4.9	////	////	////	19.1	18.9	9.1	313
201410130230	交大	18.9	0	355	6.9	////	////	////	19.1	18.9	10.9	15
201410130240	交大	19	0	32	4	////	////	////	19.1	18.9	10.9	15
201410130250	交大	19	0	353	3.6	////	////	////	19.1	18.9	10.9	15
201410130300	交大	19	0	12	6.9	////	////	////	19.1	18.9	11.1	338
201410130310	交大	19	0	322	3.6	////	////	////	19.1	19	8.9	7
201410130320	交大	18.9	0	15	2.9	////	////	////	19.1	18.9	8.9	7
201410130330	交大	18.9	0	7	1.5	////	////	////	19.1	18.9	8.9	7
201410130340	交大	18.9	0	302	5.2	////	////	////	19.1	18.9	8.9	7
201410130350	交大	18.8	0	40	2.1	////	////	////	19.1	18.8	8.9	7
201410130400	交大	18.7	0	15	2.9	////	////	////	19.1	18.7	8.9	7
201410130410	交大	18.7	0	330	3.3	////	////	////	18.7	18.7	9.3	324
201410130420	交大	18.6	0	330	1.5	////	////	////	18.7	18.5	9.4	330
201410130430	交大	18.5	0	38	1.8	////	////	////	18.7	18.5	9.4	330
201410130440	交大	18.5	0	319	2.5	////	////	////	18.7	18.5	9.4	330
201410130450	交大	18.3	0	355	2.8	////	////	////	18.7	18.3	9.4	330
201410130500	交大	18.2	0	344	4.8	////	////	////	18.7	18.2	9.4	330
201410130510	交大	18.1	0	347	7.5	////	////	////	18.2	18.1	10.2	4
201410130520	交大	17.9	0	46	3.7	////	////	////	18.2	17.9	10.2	4
201410130530	交大	17.7	0	102	4	////	////	////	18.2	17.7	10.2	4
201410130540	交大	17.6	0	310	3.9	////	////	////	18.2	17.6	10.2	4
201410130550	交大	17.3	0	333	4.1	////	////	////	18.2	17.3	10.2	333
201410130600	交大	17.2	0	330	6.4	////	////	////	18.2	17.2	10.2	333
201410130610	交大	17.3	0	293	4	////	////	////	17.3	17.2	9	333
201410130620	交大	17.4	0	353	1.2	////	////	////	17.4	17.2	9	333
201410130640	交大	17.2	0	12	5.5	////	////	////	17.4	17.2	9	333
201410130650	交大	17.1	0	319	2.3	////	////	////	17.4	17.1	10.7	322
201410130700	交大	17	0	333	1.7	////	////	////	17.4	17	10.7	322
201410130710	交大	17.1	0	333	2.3	////	////	////	17.1	17	8.3	333
201410130720	交大	17	0	285	1.6	////	////	////	17.1	17	10.1	336
201410130730	交大	17.1	0	338	2.7	////	////	////	17.1	17	10.1	336
201410130740	交大	17	0	12	1.2	////	////	////	17.1	17	10.1	336
201410130750	交大	17.2	0	330	4.5	////	////	////	17.2	17	10.1	336
201410130800	交大	17.1	0	333	3.8	////	////	////	17.3	17	10.1	336
201410130810	交大	17.2	0	254	3.9	////	////	////	17.2	17.1	9.8	324
201410130820	交大	17.2	0	350	3.6	////	////	////	17.2	17.1	9.8	324
201410130830	交大	17.3	0	313	3.7	////	////	////	17.3	17.1	9.8	324
201410130840	交大	17.5	0	355	1.7	////	////	////	17.5	17.1	9.8	324
201410130850	交大	18	0	333	2.9	////	////	////	18	17.1	9.8	324
201410130900	交大	18.2	0	9	1.6	////	////	////	18.4	17.1	9.8	324
201410130910	交大	18.1	0	18	4.5	////	////	////	18.1	18	8.1	322
201410130920	交大	18.6	0	322	5.7	////	////	////	18.6	17.9	9.7	330
201410130930	交大	18.4	0	333	5	////	////	////	18.6	17.9	9.7	330
201410130940	交大	18.6	0	302	1.5	////	////	////	18.7	17.9	9.7	330
201410130950	交大	18.5	0	341	2.9	////	////	////	18.7	17.9	9.7	330
201410131000	交大	19.1	0	341	2.3	////	////	////	19.6	17.9	9.7	330
201410131010	交大	19.4	0	46	3.7	////	////	////	19.4	19	9.9	327
201410131020	交大	19.2	0	344	7.1	////	////	////	19.6	19	9.9	327
201410131030	交大	19.4	0	21	5.9	////	////	////	19.6	19	9.9	327
201410131040	交大	19.4	0	97	1.8	////	////	////	19.6	18.9	9.9	327
201410131050	交大	19.5	0	353	4.6	////	////	////	19.6	18.9	9.9	327
201410131100	交大	19.7	0	338	3.9	////	////	////	19.8	18.9	9.9	327
201410131110	交大	19.8	0	7	3.1	////	////	////	19.9	19.3	7.3	18
201410131120	交大	19.8	0	150	1.9	////	////	////	19.9	19.3	8.8	330
201410131130	交大	20.2	0	347	6	////	////	////	20.2	19.3	8.8	330
201410131140	交大	19.6	0	324	4.2	////	////	////	20.6	19.3	9.7	327
201410131150	交大	20.2	0	302	2.8	////	////	////	20.6	19.3	9.7	327
201410131200	交大	20.6	0	285	4.8	////	////	////	20.8	19.3	9.7	327
201410131210	交大	20.3	0	333	5.6	////	////	////	20.5	19.9	13.5	333
201410131220	交大	20	0	336	6.8	////	////	////	20.5	19.9	13.5	333
201410131230	交大	20.4	0	344	5.7	////	////	////	20.5	19.8	13.5	333
201410131240	交大	20.8	0	336	3.6	////	////	////	20.9	19.8	13.5	333
201410131250	交大	21.2	0	353	2.7	////	////	////	21.3	19.8	13.5	333
201410131300	交大	20.4	0	285	2.3	////	////	////	21.5	19.8	13.5	333
201410131310	交大	20.7	0	324	1.6	////	////	////	21.2	20.3	7.9	333
201410131320	交大	21	0	23	2.5	////	////	////	21.2	20.3	7.9	333
201410131330	交大	20.9	0	358	0.9	////	////	////	21.3	20.3	11.1	338
201410131340	交大	20.5	0	333	4.6	////	////	////	21.4	20.3	11.1	338
201410131350	交大	21.2	0	313	2.5	////	////	////	21.4	20.3	11.1	338
201410131400	交大	21.2	0	330	6.1	////	////	////	21.4	20.3	11.1	338
201410131410	交大	21.1	0	344	4.3	////	////	////	21.2	21	7.9	338
201410131420	交大	20.6	0	336	3	////	////	////	21.5	20.6	8.7	344
201410131440	交大	20.8	0	43	3	////	////	////	21.5	20.5	9.4	12
201410131450	交大	20.7	0	7	3	////	////	////	21.5	20.5	9.4	12
201410131500	交大	20.5	0	333	5.8	////	////	////	21.5	20.4	9.4	12
201410131510	交大	20.7	0	299	2.7	////	////	////	20.9	20.5	8.6	282
201410131520	交大	20.4	0	296	2.4	////	////	////	20.9	20.4	9	336
201410131530	交大	20.3	0	327	2.3	////	////	////	20.9	20.3	9	336
201410131540	交大	20.4	0	322	2.3	////	////	////	20.9	20.3	9	336
201410131550	交大	20	0	338	1.1	////	////	////	20.9	20	9	336
201410131600	交大	20	0	218	2.1	////	////	////	20.9	20	9	336
201410131610	交大	19.6	0	333	4.5	////	////	////	20.1	19.6	6.1	347
201410131620	交大	19.4	0	15	1.9	////	////	////	20.1	19.4	7.2	353
201410131630	交大	19.2	0	29	5.1	////	////	////	20.1	19.2	9.5	330
201410131640	交大	19	0	344	4.3	////	////	////	20.1	19	9.5	330
201410131650	交大	18.9	0	327	3.1	////	////	////	20.1	18.9	9.5	330
201410131700	交大	18.7	0	341	3.3	////	////	////	20.1	18.7	9.5	330
201410131710	交大	18.6	0	23	2.7	////	////	////	18.7	18.6	9.1	336
201410131720	交大	18.5	0	338	3.8	////	////	////	18.7	18.5	9.1	336
201410131740	交大	18.4	0	282	0	////	////	////	18.7	18.3	9.1	336
